id,Message,truth,cube,google,google_spam,google_not_spam,ibm,ibm_spam,ibm_not_spam
35,haryana govt launch affordable flat bhk  starting lacs heart of faridabad sec fre parking  bankloan booking amt  few units call,spam,spam,not-spam,0.066778,0.933222,not-spam,0.053591438,0.946408562
36,bhksq ftl only by raheja developer at sohna road gurgaoneasy  pay planluxury apartments with aravali viewto book sms maha to,spam,spam,spam,0.900088,0.099912,spam,0.990927105,0.009072895
37,own ur dream home in andheri w ceaser road mumbai  bhk fully loaded only   cr  min metro free luxury car on booking call,spam,spam,spam,0.546758,0.453242,spam,0.945021408,0.054978592
38,ac appts in lower powai east kanjurmarg mumbai  bhk   cr mumbai home fest on apr book  l only spcl offers  discount call,spam,spam,spam,0.557029,0.44297,not-spam,0.05821705,0.94178295
39,own a home in mulund w mumbai  bhk cr only no floor rise charge by wadhwa group offer pay only  now  no emi till possn call,spam,spam,spam,0.999824,0.000176,spam,0.994823425,0.005176575
40,wdont miss the deal of the yearwant to live in navi mumbaibook bhk lux aptpool club parkingcutomized payment plancnst swinglmtd units ph o,spam,spam,spam,0.847639,0.152361,not-spam,0.081018839,0.918981161
41,pay just  lac to own hottest property in indirapuram saya group presents no emi till possession bhk start l front of shipra mallgzbnh ph,spam,spam,spam,0.951346,0.048654,spam,0.993490892,0.006509108
42,armed forces housing scheme launches bhk flats at very prime location  limited units only construction already started call,spam,spam,spam,0.945657,0.054344,not-spam,0.062926737,0.937073263
43,hurry  bhk all inclrs sqft bank loan  prpsed metro   kms from fortis hospital  mins drive from sector m,spam,spam,not-spam,0.486417,0.513583,spam,0.607812551,0.392187449
44,nirala greenshire bhksqftl bhksqftl all inclusive possnin  loan by hdfc bank bookiing amt l only m,spam,spam,not-spam,0.118602,0.881398,not-spam,0.005404575,0.994595425
45,celebrate this holi sapno ka ghar ab sirf  lac mein  opp metro station  migsun wynn laye hai  bhk budget home  now book just   call,spam,spam,spam,0.998835,0.001165,spam,0.995846496,0.004153504
46,no emi flats for  years   bhk l only best location easy pay plans book   call,spam,spam,spam,0.994588,0.005412,spam,0.99464891,0.00535109
47,buy bhk apt resort style living clpall incl area  sqft  deck swimming pool lac booking amt hurry price revising soon call,spam,spam,not-spam,0.138752,0.861248,not-spam,0.106285586,0.893714414
48,why pay rent shift now buy ac home in east delhi near shadra metro club parking ready to move  bhk  cr free luxry car call,spam,spam,not-spam,0.248963,0.751037,not-spam,0.005890098,0.994109902
49,dont miss fully loaded  bhk lxry apts in vaishali ghaziabad near metro only cr possn jun get attractive discount  offers call,spam,spam,spam,0.999531,0.000469,spam,0.977356252,0.022643748
50,scc sapphire in raj nagar ext  bhkstorel   bhk l no loan no emi possn in  month special offer free modular kitchen call    z,spam,spam,spam,0.982423,0.017577,spam,0.994963666,0.005036334
51,bardont miss supertech present bhk book rslac in south of gurgaon hill view township lac only bank loan avail wooden flooring cl,spam,spam,spam,0.73988,0.26012,not-spam,0.084125312,0.915874688
52,why pay rent shift now buy ac  bhk home in east delhi   lacs nly ready to move nr shadra metro with club parking visit today call   z,spam,spam,spam,0.792826,0.207174,not-spam,0.237044005,0.762955995
53,gk book  bhk apts k with free car  car parking indirapuram xtn construction in full swing  acr parkfive star lobby furnished interior,spam,spam,spam,0.72834,0.27166,spam,0.889617168,0.110382832
54,surya heights pay  and rest on possesssion  bhk at  lac bhk at  lac near abes college nh  shops also available call,spam,spam,not-spam,0.450488,0.549512,spam,0.971569684,0.028430316
55,near vaishali metro own  bhk furnished appartment in cloud   vaishali  rs  lacs onwards possession soon few unit left bank loan ph,spam,spam,not-spam,0.359802,0.640198,not-spam,0.226800147,0.773199853
56,first time in india mahila samridhi housing scheme for women opens nd phase till th feb reg amt rs  get bhk metrobank loanconst full swng,spam,spam,spam,0.970138,0.029862,spam,0.632322427,0.367677573
57,days left now to book  bhk in all india housing scheme home loan  possession in  month scheme closing in  feb  plz call,spam,spam,spam,0.946649,0.053351,not-spam,0.27564089,0.72435911
58,st time in vaishali ghaziabad carnival from  feb cloud  bhk shopoffices get  disc on booking nr metro station poss in  months ph,spam,spam,not-spam,0.093384,0.906616,spam,0.964765824,0.035234176
59,ltd offer why  bhk buy  bhk in same cost with multi profit premium high rise apartment with lush green view oppmetro nr shopping mallpvr ph,spam,spam,spam,0.956017,0.043983,spam,0.995692778,0.004307222
60,hot property vaishalivasundhraindirapuram ready  move  flat  loan parking  bhk  lac to  lac  bhk   lac  lac   bhk  to   call,spam,spam,not-spam,0.071891,0.928109,not-spam,0.09478737,0.90521263
61,haryana govt affordable housing scheme in south of gurgaon sohna bhklacs all incl loan  booking  visit wwwbookmyhousecom or cl,spam,spam,not-spam,0.041657,0.958343,not-spam,0.039211448,0.960788552
62,nirala estate presents ready to move option on  april poss in  days  bhk  study st  lac  plan free ac woodwrk modle ktch etc ph,spam,spam,not-spam,0.030323,0.969677,not-spam,0.056213434,0.943786566
63,first time in india ghar nahi smart ghar bhk smart homesl only interest free payment plan pwrd by ltbank loan nhgzbpropsd metro stn ph,spam,spam,spam,0.548599,0.451401,spam,0.968509362,0.031490638
64,gulmohur garden presents ready to move offer bhk apptssqftl all inclmain rajnagar extgzb also avail no emi plan m,spam,spam,spam,0.543663,0.456337,spam,0.973940121,0.026059879
65,bhk sq ftl all incl by indias top  developer at sohna road gurgaoneasy  pay planluxury apartment with aravali viewcall,spam,spam,spam,0.511136,0.488864,spam,0.953127477,0.046872523
66,bking form charges rs oo draw after  mnth apply haryana govt affrdable scheme  total cst bhk o  sectr  faridabad,spam,spam,not-spam,0.026099,0.973901,not-spam,0.008514859,0.991485141
67,ghar sasta chahiye to gulmohur garden aiye svpraj nagar ext bhklac all incl no emi plan also avlb ready poss in  mnth m,spam,spam,not-spam,0.135636,0.864364,spam,0.590902576,0.409097424
68,gulmohur garden presents ready poss in  mnth bhklac all incl main rajnagar extgzb also avail no emi plan m,spam,spam,not-spam,0.120828,0.879172,not-spam,0.389495292,0.610504708
69,scc sapphire in raj nagar extr r  bhk storelr r  bhk lr r no loan no emir r possn in  monthr r best projectr r call,spam,spam,not-spam,0.214242,0.785758,spam,0.765751311,0.234248689
70,tata housing launching bhkr secgurgaonr km frm delhir min frm international airportr pay o in mnths o on possessionr          r r,spam,spam,not-spam,0.273001,0.726999,not-spam,0.087160219,0.912839781
71,eardont miss supertech present bhk apts in largest hill view township book rslac only in south gurgaon lac bank loan avail cl,spam,spam,spam,0.775273,0.224727,not-spam,0.321493183,0.678506817
72,tata housing launching bhk secgurgaon km from delhi min from international airport pay  in  months   on possessionr,spam,spam,not-spam,0.380864,0.619136,not-spam,0.062586433,0.937413567
73,bookmyhousecom organising a site visit for raheja maheshwara project at south of gurgaonsohnabhk l all inclto book ur seat call  now,spam,spam,spam,0.949736,0.050264,not-spam,0.076470745,0.923529255
74,jmd  sg grand presents saal k sabse saste  din bhkl all incl bhkl all incl main rajnagar extgzb m,spam,spam,spam,0.899776,0.100224,spam,0.994147599,0.005852401
75,hurry haryana govttaffordable bhk flat lacsall incl with  bank loan at faridabad most prime location near dps school m,spam,spam,spam,0.701998,0.298002,not-spam,0.041435753,0.958564247
76,hurry last  days left to avail surprises upto lac bhk homes atmosphere mulund rscr book by paying   no emi till fitoutwadhwa group cal,spam,spam,spam,0.594582,0.405418,spam,0.973671872,0.026328128
77,bhk at rs psf in gurgaon prime location ltd units plp subvention plan project near completion call,spam,spam,not-spam,0.317588,0.682412,not-spam,0.005739629,0.994260371
78,bhk   lacs at joynest zrk near  acres sukhna leisure valley park low rise gated community with top class amenities call,spam,spam,spam,0.788745,0.211255,spam,0.970603943,0.029396057
79,bhk in just  lacsall inclusive under huda govtaffordable housing south of gurgaon  home loanpay   book few units left call,spam,spam,spam,0.597807,0.402193,not-spam,0.079067365,0.920932635
80,raheja brings  main gurgaon sohna road  bhk  rs lacs onwards  construction by makers of burj  khalifa  httpbitlylwhh call,spam,spam,not-spam,0.420431,0.579569,spam,0.730929615,0.269070385
81,lodha launches  bhk ac apts in thane mumbai lac nwards pay just percnt and bank pays the rest buk now t save upto lac m,spam,spam,spam,0.617492,0.382508,spam,0.55262567,0.44737433
82,ygudi padwa get a gold coin free on booking  or bhk flat in our projects  maladw or mira road price starting from sqft please call,spam,spam,not-spam,0.379665,0.620334,spam,0.994376262,0.005623738
83,kalpataru immensa kolshet rdthane bhkrs lac with retailcmmercial pen area thane railwy stnkm fully equipped fitnesscenter,spam,spam,not-spam,0.433325,0.566674,not-spam,0.054550904,0.945449096
84,fcfrla fiesta dosti ambrosia new wadala save up to rsl for first  flats  bhks rscr rsvp,spam,spam,not-spam,0.303168,0.696832,spam,0.859149428,0.140850572
85,celebrating  family  palavamumbair bhkr starting from  lacsr avail celebratory offersr book ur home with  onlyr                r r,spam,spam,not-spam,0.099035,0.900965,spam,0.939843857,0.060156143
86,dfbr bhk lac onward mulundw  storey high rise wid  towers all modern amenities min walking dis frm station min drive frm lbs road cal,spam,spam,spam,0.726575,0.273425,spam,0.844137122,0.155862878
87,ltd time offer huda approved affordable housing south of gurgaon book  bhk in just  lacsall inclusive home loan pay   book cl,spam,spam,spam,0.663954,0.336046,spam,0.991875711,0.008124289
88,do u want to live in gurgaon supertech defence floors sec ggnjust lac onwrds low rise bhk flat adjoining aravali golf centric township cl,spam,spam,not-spam,0.245817,0.754183,spam,0.946280535,0.053719465
89,jmd  sg lekar aayen hain saal k sabse saste  din in sg grand raj ngr extn bhk all inclulac bhkmini lac all inc call jmd grp,spam,spam,spam,0.710541,0.289459,spam,0.993535887,0.006464113
90,ohello pay only rs per month after possession of the flat  bank loan bhk lac only booking amt rs  only bhiwadi sec  ph,spam,spam,spam,0.853611,0.146389,not-spam,0.063793394,0.936206606
91,book your home  lac only st smart city of lucknow on lucknowkanpur highway parth republic  bhk apartments visit now for discount  pho,spam,spam,spam,0.98966,0.01034,spam,0.994411344,0.005588656
92,book ur home  lac in st smart city of lucknow paarth republic on lucknowkanpur highway  bhkl  bhkl vist for discount call,spam,spam,spam,0.864902,0.135098,spam,0.993975171,0.006024829
93,haryanagovt affordable husing scheme at shna road gurgan delhi ncr bhklac all incl booking amt lan  limited inventory r sms bmh to,spam,spam,not-spam,0.053448,0.946552,not-spam,0.049462155,0.950537845
94,haryanagovt affordable husing scheme at shna road gurgan delhi ncr bhklac all incl booking amt lan  limited inventory r sms,spam,spam,not-spam,0.077694,0.922306,not-spam,0.049579729,0.950420271
95,pre launch acres of residential gated township in heart of city at chembur     bhk apts hubtown seasons call on o,spam,spam,spam,0.76133,0.23867,spam,0.985602983,0.014397017
96,keep this message buy your first bhk without any loan mira rd with rs  monthly installment for  months for more enquiries call,spam,spam,not-spam,0.35083,0.64917,spam,0.889553678,0.110446322
97,solitaire by wadhwa group kolshet thane book bhk  rslac  get ipad mini free construction nearing completion slabs done poss  march cal,spam,spam,spam,0.670365,0.329635,spam,0.892887349,0.107112651
98,last chance to book rk bhk  bhk in sheltrex smart phone citykarjat  acre township price starting   lac only for detail misscall on,spam,spam,not-spam,0.244358,0.755642,spam,0.944189972,0.055810028
99,bhk   lac in gurgaon pay only  now  nothing till possession ltd units left call,spam,spam,spam,0.999286,0.000714,not-spam,0.03243812,0.96756188
100,fbrdont miss supertech present bhk apts in largest hill view township book rslac onlyin south gurgaon lac wooden flooring cal,spam,spam,spam,0.898342,0.101658,spam,0.971737306,0.028262694
101,brdont miss supertech present bhk apts in largest hill view township book rslac onlyin south gurgaon lac wooden flooring cal,spam,spam,spam,0.898342,0.101658,spam,0.971737306,0.028262694
102,pre launch   acres of residential gated township in heart of city at chembur     bhk apts hubtown seasons call on o,spam,spam,spam,0.76133,0.23867,spam,0.985602983,0.014397017
103,bhk lacall incl under huda govt affordable housing scheme south of gurgaon  home loan pay rs  to book few units left call,spam,spam,not-spam,0.417735,0.582265,not-spam,0.058212435,0.941787565
104,puranik presents tokyo bay citys first japanese styled  bhk in the heart of thane at rs lac avail the biggest pre launch opportunity call,spam,spam,spam,0.972734,0.027266,spam,0.964325935,0.035674065
105,prominent developer offers luxury  bhk apts in andheri e at affordable price of rs  cr onwards with special subvention scheme  call,spam,spam,spam,0.941149,0.058851,spam,0.993112113,0.006887887
106,reputed builder presents color homes with bhk flats near pass metro station start just rs  lacs onward at near wave city nh gzb call,spam,spam,spam,0.925278,0.074722,spam,0.939755232,0.060244768
107,hurry limited time offr bhkl all incl bhkl all incl near nhghaziabad m,spam,spam,spam,0.90204,0.09796,spam,0.976222091,0.023777909
108,upgrade to a bhk  lacs only  with a moderngym lowrise with elevators swankyclub jogging track  upgrade to joynest zrk  cl,spam,spam,spam,0.772748,0.227252,not-spam,0.068009218,0.931990782
109,for acres of forested residential gated township in heart of city at chembur     bhk aptsrhubtown seasonsrcall   httpsgoogljxle,spam,spam,spam,0.51168,0.48832,not-spam,0.348264906,0.651735094
110,bookmyhousecom organising site visit for haryana govt affordable housing scheme at south of gurgaon sohna bhk  lac all incl to visit sms khs to,spam,spam,not-spam,0.331556,0.668444,not-spam,0.053380828,0.946619172
111,luxury redefine bhk at zirakpur  ready to move in degree open view appt  adjoining lac sqft of park rooftop pool elite club   call,spam,spam,not-spam,0.140555,0.859445,not-spam,0.330603115,0.669396885
112,upgrade to a  bhk   lacs only with a modern gym low rise with elevators swanky club jogging track upgrade to joynest zrkrrcall,spam,spam,spam,0.837274,0.162726,spam,0.945341177,0.054658823
113,upgrade to a bhk  lacs onlyrrwith a moderngymrlowrise with elevatorsrswankyclubrjogging trackrrupgrade to joynest zrkrrcl,spam,spam,spam,0.892585,0.107415,not-spam,0.23146135,0.76853865
114,bhk lac under huda govt affordable housing scheme at south of gurgaon sohna booking amount  loan  for site visit sms khs to,spam,spam,not-spam,0.027184,0.972816,not-spam,0.039795458,0.960204542
115,come  be part of the latest town of the townjoynest moh excellent location on  ft wide airport road mohali  bhk   lacs call,spam,spam,spam,0.92671,0.07329,spam,0.921867489,0.078132511
116,the pinnacler bhk luxury apt at prime location of mulund wrpossession in early rpay   no emi till possessionrimmediate allotmentrcall,spam,spam,spam,0.962153,0.037847,spam,0.632131927,0.367868073
117,sahastradhara rddehradunbhk with asured rental the capitalpssession starts in  monthssample flt readyhurry ffer for limited period onlygtm,spam,spam,spam,0.793435,0.206565,spam,0.961657361,0.038342639
118,keep this message its now or never pay lac govt taxes to book your home in runwal mycity dombivalie bhk lac bhk lac all inclusive sms nest on,spam,spam,not-spam,0.427059,0.572941,not-spam,0.349427208,0.650572792
119,bhk at rs psf in gurgaonrprime location ltd unitsrplp subvention planrproject near completionrcall,spam,spam,spam,0.571537,0.428463,not-spam,0.007682047,0.992317953
120,the pinnacle  bhk luxury apt at prime location of mulund w possession in early  pay   no emi till possession immediate allotment call,spam,spam,spam,0.979105,0.020895,spam,0.634196472,0.365803528
121,lodha palavacity bhk ac apt atl in dombivalie kalyan shil rd families living pssn in feb akshaya tritiya benefitsupto rsl,spam,spam,not-spam,0.103761,0.896239,not-spam,0.055742526,0.944257474
122,live life king size with biggest bhk carpet area  waghbillthane surrounded by green hill with all modern amenities  cr all inclusive cl,spam,spam,not-spam,0.078367,0.921633,not-spam,0.105302857,0.894697143
123,own a royal lifestyle  disney themed  bhk in goregaon w sunteck cityupcoming project by sunteck realty booking amt  lac only call,spam,spam,not-spam,0.147505,0.852495,not-spam,0.047217893,0.952782107
124,hdfc realty presents  bhk apts with  payment plan in jvlr andheri east starting rs  crs tc for details call,spam,spam,not-spam,0.011131,0.988869,not-spam,0.038664847,0.961335153
125,the wadhwa group presents bhk apartments for just rs lacs  rest on fit outs promenadethe address ghatkoparwcall  hurry offer validfeb,spam,spam,spam,0.998026,0.001974,spam,0.995608333,0.004391667
126,dlh ashoka presents  bhk homes with attached lifestyle amenities in the heart of thane starting from  lac onward call now,spam,spam,spam,0.834368,0.165632,spam,0.971930255,0.028069745
127,dear customer the most awaited pre launch in chembur studio  bhk starts at  lac only spread across  acres all international amenities call,spam,spam,spam,0.949742,0.050258,spam,0.729632807,0.270367193
128,lodhas deal of the decade amara acres in kolshet thane     bhk ac apts from rslac  pay just   avail discunt upto lac  call now,spam,spam,spam,0.51913,0.48087,not-spam,0.058362008,0.941637992
129,punes biggest  most affordable prelaunch offer on  bhk start     lac onward by vilas javdekar off singhad road for more info call,spam,spam,spam,0.741334,0.258666,spam,0.975790889,0.024209111
130,biggest  most affordable prelaunch of pune  bhk at rs   lac onward by vilas javdekar off singhad road call,spam,spam,spam,0.722926,0.277074,spam,0.971818959,0.028181041
131,biggest prelaunch of godrej infinity in  acre township  keshavenagar pune  bhk start   lac  bhk   lac for more details call,spam,spam,not-spam,0.262063,0.737937,not-spam,0.09954313,0.90045687
132,tata housing prelaunches  bhk homes la montana  lactaxes onwards near talegaon pune good connectivity on mumbaipune highway book luxury,spam,spam,not-spam,0.370018,0.629982,not-spam,0.123232476,0.876767524
133,riverdale presents  bhk value homes in the heart of kharadi pune price starts from  lac onward best prelaunch project book now,spam,spam,spam,0.995863,0.004137,spam,0.995041409,0.004958591
134,tata housing prelaunches  bhk homes la montana   lactaxes onward  talegaonpune good connectivity on mumbaipune highway book now,spam,spam,spam,0.541604,0.458396,spam,0.797225798,0.202774202
135,ph  coming soon godrej infinity keshav nagar with sports pro academy four fountains spa to rejuvenate bhk premium homes in pune give miss call,spam,spam,spam,0.99252,0.00748,spam,0.994958949,0.005041051
136,bhk start   lac onward presenting the most exclusive property of the year kalpataru residency  sanathnagar world class amenities call,spam,spam,spam,0.667064,0.332936,spam,0.89059841,0.10940159
137,bhk in gurgaon by tata housing pay  now  rest on possession in  call,spam,spam,not-spam,0.47907,0.52093,not-spam,0.049823663,0.950176337
138,bhk apts  rs lac sohnagurgaon road beautiful view  plan call,spam,spam,not-spam,0.196231,0.803769,not-spam,0.105188374,0.894811626
139,pradhan mantri aavasiya yojna book your flat  bhk only  or paye  ki govt subsidi   ravinder jhalani  hardik buildstate devpvtltd con,spam,spam,spam,0.633167,0.366833,spam,0.862833942,0.137166058
140,crfully furnished  bhk apts with private lift  nh ghaziabad sky club luxury spa  roof top pool  lacs onwards call,spam,spam,not-spam,0.388184,0.611816,spam,0.866875992,0.133124008
141,haryana govt affordable housing scheme at sohna south of gurgaon bhklac all incl booking amt loan  limited units left to book sms khs to,spam,spam,not-spam,0.041421,0.958579,not-spam,0.006496107,0.993503893
142,ghar sasta chahiye to gulmohur garden aaiyesaal ke sabse saste  din in svpraj ngr extn gzb bhk possession in  months call jmd grp,spam,spam,spam,0.670282,0.329718,spam,0.994297899,0.005702101
143,donot miss  dream home in gurgaon   bhk in cost of  bhk  best location ever  pay only  in  month  rest on poss  inaug disc for ltd unit  ph,spam,spam,spam,0.999762,0.000238,spam,0.981575676,0.018424324
144,now or never  surprise ur family   bhk  rs  lacs in ggn  best location ever  pay only  in  month  rest on poss  get inaug disc  ph,spam,spam,spam,0.999986,0.000014,spam,0.995945215,0.004054785
145,st timemain nhopp  colombia asia hospitalsilver homes apts wid free modular kitchn strting lacs for bhk pay rest in installment,spam,spam,spam,0.833964,0.166036,spam,0.943689183,0.056310817
146,bhk lacall incl under huda govt affordable housing scheme at south of gurgaon sohna booking amount  home loan  few units left call,spam,spam,not-spam,0.058659,0.941341,not-spam,0.050213382,0.949786618
147,upgrade to a  bhk   lacs only with a modern gym low rise with elevators swanky club jogging track upgrade to joynest zrk  call,spam,spam,spam,0.837025,0.162975,spam,0.940210386,0.059789614
148,want to live in  delhi dda approved  society bhk starts fron  lacs near airport  new embassy enclave dwarka sector   golf road call,spam,spam,spam,0.55222,0.44778,spam,0.628006029,0.371993971
149,bhk in just lac all inclusive  under huda govt affordable housing south of gurgaon  home loan pay  to book  few unit left call,spam,spam,not-spam,0.427389,0.572611,not-spam,0.060613233,0.939386767
150,why pay rent shift now buy ac  bhk home in east delhi   lacs nly ready to move nr shadra metro with club parking visit today call,spam,spam,spam,0.792826,0.207174,not-spam,0.23815076,0.76184924
151,residential project at a prime location of medical road aligarh with all modern amenities and facilities bhkbhk apartments  sqft contact  dr s u khan  infofairlinkconstructioncom wwwfairlinkconstructioncom,spam,spam,spam,0.620471,0.379529,not-spam,0.135272844,0.864727156
152,supertech basera all inclusive homes in gurgaon  bhk   lacs  bhk   lacs construction full swing  home loanpay  for booking call,spam,spam,not-spam,0.347151,0.652849,spam,0.946798448,0.053201552
153,raheja mahaeswara luxury homes at sohna road gurgaon bhksq ft onlyaravali viewpay  now  rest on possessionto enquire sms maha to tc,spam,spam,spam,0.83396,0.16604,spam,0.99399149,0.00600851
154,bk ur dream home new launch radiance mercury apartment perumbakkam  bhk premium appts start from rs lac ffer limted give missed call on,spam,spam,not-spam,0.045633,0.954367,not-spam,0.133621193,0.866378807
155,hurry book your dream home in a wellplanned township in hinjewdai puner   bhk apartments starting from  lacs onwardrcall,spam,spam,spam,0.876952,0.123048,spam,0.968165501,0.031834499
156,book  bhk apts k with free car  car parking indirapuram xtn construction in full swing  acr parkfive star lobby furnished interior call,spam,spam,spam,0.727979,0.272021,spam,0.885156276,0.114843724
157,haryana govt affordable housing scheme at sohna road gurgaon bhk lac all incl booking amt  loan  visit wwwbookmyhousecom or call,spam,spam,not-spam,0.036068,0.963932,not-spam,0.044023201,0.955976799
158,bhksq ftl all incl at south of gurgaon sohnaaravali viewluxurious appartmentbooking amt  rest on possessionfor site visit sms maha to,spam,spam,not-spam,0.346804,0.653196,not-spam,0.00547009,0.99452991
159,rheja devlprs with lt and arabtec launching maheshwara luxury homes at sohna road ggn bhksqft  only  pay plan cal,spam,spam,spam,0.96428,0.03572,spam,0.988446699,0.011553301
160,dac prmters    affordable budget flat   anakaputur  juz pp t bus tand  few flats avl  bhklk bhklkall incl free site visit cl,spam,spam,not-spam,0.2714,0.728601,not-spam,0.070147277,0.929852723
